up_genes	down_genes
EDN2	SRM
TPI1P1	CDA
SLAMF7	NUDC
HK2	ZMPSTE24
ITGB6	COA7
CPOX	NDC1
ATP1B3	CTH
C4orf48	WDR77
LPCAT1	PHLDA3
OSMR	H2AW
PDLIM7	PPM1G
HMGN3	FOSL2
UPP1	WDR43
PLS3	MCM6
CDKN2B	ITGA6
AHNAK	NCEH1
PLAAT4	MFSD10
PFKP	LYAR
HK1	TMEM156
KRT80	HNRNPDL
HSP90B1	NSUN2
ACTN1	AC034236.1
TNFAIP2	HSPA4
PDIA3	HBEGF
ALKBH5	DUSP1
KRT17	HNRNPAB
MYL9	TBC1D9B
DNTTIP1	SOX4
CALR	H2AC6
GPI	HLA-A
APOL2	PIM1
NRIP1	MCM3
PFKL	PNRC1
NA	RAB32
NA	CLDN4
NA	MCM7
NA	UBE2H
NA	DKC1
NA	GSR
NA	CEBPD
NA	MCM4
NA	RRS1
NA	TRAM1
NA	BOP1
NA	PLIN2
NA	DNAJA1
NA	POLR1E
NA	UGCG
NA	BSPRY
NA	TNC
NA	EPS8L2
NA	PHLDA2
NA	CCDC86
NA	FEN1
NA	FOSL1
NA	CST6
NA	CCND1
NA	RAB6A
NA	NNMT
NA	HSPA8
NA	KLF6
NA	DDX21
NA	CDKN1B
NA	GPRC5A
NA	DERA
NA	TUBA1A
NA	PA2G4
NA	TSPAN31
NA	BTG1
NA	ABHD4
NA	PNN
NA	SAV1
NA	C15orf48
NA	BCKDK
NA	TRADD
NA	ELMO3
NA	CLUH
NA	MYBBP1A
NA	MIEF2
NA	KRT16P1
NA	KRTAP2-3
NA	NFE2L1
NA	RBCK1
NA	NOP56
NA	SNTA1
NA	EDEM2
NA	TOP1
NA	GADD45B
NA	DNMT1
NA	JUND
NA	CEACAM6
NA	PPP1R15A
NA	TNNT1
NA	CSTB
