""	119	PC9	1109	1071	1157	1068
HALLMARK-ADIPOGENESIS	""	""	1e-72	3e-33	6e-11	2e-72
HALLMARK-ALLOGRAFT-REJECTION	""	7e-27	0.004	2e-15	2e-44	4e-11
HALLMARK-ANDROGEN-RESPONSE	5e-10	2e-11	1e-95	3e-58	7e-17	4e-16
HALLMARK-ANGIOGENESIS	""	4e-65	5e-112	""	9e-118	1e-64
HALLMARK-APICAL-JUNCTION	7e-10	2e-258	4e-226	1e-10	3e-28	3e-42
HALLMARK-APICAL-SURFACE	0.003	5e-36	0.02	1e-06	7e-07	1e-20
HALLMARK-APOPTOSIS	0.03	7e-11	1e-60	5e-19	4e-176	""
HALLMARK-BILE-ACID-METABOLISM	3e-07	2e-204	""	""	1e-55	1e-06
HALLMARK-CHOLESTEROL-HOMEOSTASIS	2e-05	6e-153	7e-173	3e-12	8e-42	2e-43
HALLMARK-COAGULATION	""	8e-32	5e-206	5e-44	2e-90	4e-23
HALLMARK-COMPLEMENT	""	3e-07	5e-84	3e-22	6e-103	2e-32
HALLMARK-DNA-REPAIR	""	3e-23	2e-159	4e-12	6e-66	4e-12
HALLMARK-E2F-TARGETS	2e-08	4e-12	7e-53	""	1e-184	6e-21
HALLMARK-EPITHELIAL-MESENCHYMAL-TRANSITION	8e-21	5e-227	1e-42	""	2e-54	3e-54
HALLMARK-ESTROGEN-RESPONSE-EARLY	""	9e-47	""	""	2e-42	""
HALLMARK-ESTROGEN-RESPONSE-LATE	""	1e-108	2e-47	""	4e-175	2e-17
HALLMARK-FATTY-ACID-METABOLISM	""	2e-08	6e-151	5e-11	8e-30	4e-55
HALLMARK-G2M-CHECKPOINT	3e-14	2e-32	2e-04	5e-27	4e-218	5e-16
HALLMARK-GLYCOLYSIS	1e-10	2e-82	8e-281	1e-14	2e-73	7e-115
HALLMARK-HEDGEHOG-SIGNALING	7e-07	""	7e-32	3e-32	3e-05	8e-08
HALLMARK-HEME-METABOLISM	""	2e-15	4e-28	1e-24	<2e-308	""
HALLMARK-HYPOXIA	1e-15	2e-200	1e-40	""	2e-09	4e-55
HALLMARK-IL2-STAT5-SIGNALING	0.01	1e-111	4e-58	0.007	0.004	2e-24
HALLMARK-IL6-JAK-STAT3-SIGNALING	""	9e-16	1e-46	""	7e-154	1e-04
HALLMARK-INFLAMMATORY-RESPONSE	0.003	1e-70	7e-17	0.03	6e-23	1e-04
HALLMARK-INTERFERON-ALPHA-RESPONSE	2e-11	1e-97	2e-78	1e-10	2e-108	3e-21
HALLMARK-INTERFERON-GAMMA-RESPONSE	2e-08	3e-76	0.002	5e-04	3e-92	0.03
HALLMARK-KRAS-SIGNALING-DN	0.002	<2e-308	8e-205	""	8e-186	""
HALLMARK-KRAS-SIGNALING-UP	6e-05	3e-10	1e-40	9e-08	1e-39	6e-23
HALLMARK-MITOTIC-SPINDLE	3e-08	""	9e-89	4e-58	4e-92	0.001
HALLMARK-MTORC1-SIGNALING	3e-10	2e-22	2e-257	5e-65	<2e-308	3e-118
HALLMARK-MYC-TARGETS-V1	5e-05	2e-08	6e-95	6e-27	<2e-308	5e-45
HALLMARK-MYC-TARGETS-V2	5e-08	2e-46	4e-06	3e-11	<2e-308	5e-11
HALLMARK-MYOGENESIS	""	6e-13	3e-04	""	2e-176	8e-12
HALLMARK-NOTCH-SIGNALING	3e-07	4e-65	2e-07	3e-07	6e-10	2e-06
HALLMARK-OXIDATIVE-PHOSPHORYLATION	""	2e-19	6e-84	8e-86	<2e-308	1e-54
HALLMARK-P53-PATHWAY	""	""	7e-21	5e-16	4e-252	2e-05
HALLMARK-PANCREAS-BETA-CELLS	""	1e-98	3e-08	0.05	0.009	""
HALLMARK-PEROXISOME	""	2e-80	2e-70	""	3e-43	9e-31
HALLMARK-PI3K-AKT-MTOR-SIGNALING	""	9e-24	4e-273	2e-36	1e-13	3e-56
HALLMARK-PROTEIN-SECRETION	""	7e-69	9e-101	3e-59	3e-233	0.02
HALLMARK-REACTIVE-OXYGEN-SPECIES-PATHWAY	""	4e-43	""	1e-23	2e-76	2e-48
HALLMARK-SPERMATOGENESIS	""	5e-167	1e-94	5e-12	3e-05	0.01
HALLMARK-TGF-BETA-SIGNALING	3e-16	0.05	8e-205	0.03	3e-08	0.02
HALLMARK-TNFA-SIGNALING-VIA-NFKB	2e-11	9e-77	9e-188	3e-54	4e-80	""
HALLMARK-UNFOLDED-PROTEIN-RESPONSE	7e-13	3e-05	1e-54	6e-20	2e-279	1e-58
HALLMARK-UV-RESPONSE-DN	2e-08	8e-32	6e-06	4e-64	2e-90	8e-06
HALLMARK-UV-RESPONSE-UP	0.01	4e-04	3e-146	5e-67	3e-08	3e-05
HALLMARK-WNT-BETA-CATENIN-SIGNALING	5e-04	9e-32	3e-09	""	""	0.05
HALLMARK-XENOBIOTIC-METABOLISM	""	1e-18	9e-06	3e-23	6e-34	1e-53
hif-targets	1e-15	<2e-308	3e-294	4e-60	<2e-308	1e-103
