""	119	PC9	1109	1071	1157	1068
HALLMARK-ADIPOGENESIS	0.0319014435983989	0.00155914984305383	-0.163582570256181	0.235955442465028	0.0208436990880951	-0.284380775132115
HALLMARK-ALLOGRAFT-REJECTION	-0.102983418893918	-0.0630160277859337	0.0409576511261678	0.183506915722511	-0.0672413337992208	0.0826094319606541
HALLMARK-ANDROGEN-RESPONSE	-0.346731637826575	-0.0657827339689794	-0.218388844649895	-0.492165359008076	-0.0391114752240989	-0.115493251972339
HALLMARK-ANGIOGENESIS	-0.194299880825859	0.23321585507852	-0.533572854149786	-0.0807754154840299	0.321715493975348	-0.642936360134407
HALLMARK-APICAL-JUNCTION	-0.338640489924812	-0.287140973577952	-0.502616782822142	-0.192731337992758	0.0540908976623795	-0.255005841665104
HALLMARK-APICAL-SURFACE	0.212737413300915	0.116874612999777	-0.018531010458712	0.205517066035561	-0.0381176481645626	-0.219961824034608
HALLMARK-APOPTOSIS	-0.118469401447116	-0.042730054398648	-0.16226237109461	0.173895130940267	0.130883215537468	-0.0259508069358243
HALLMARK-BILE-ACID-METABOLISM	0.243027509702164	0.27282207061544	0.00181918229370659	0.0271356298945435	0.113863841001611	-0.0963935676944021
HALLMARK-CHOLESTEROL-HOMEOSTASIS	-0.246402714879455	-0.311313145346831	-0.405476159130062	0.158038017977172	-0.0874982997537668	-0.360118897672136
HALLMARK-COAGULATION	-0.119213980817933	0.0813562385284117	-0.535186124436676	0.458710069395773	0.127209508456878	-0.214787272004292
HALLMARK-COMPLEMENT	-0.135697937352868	-0.0547323737388985	-0.21111607662559	0.218463848853333	0.105322181112755	-0.201321656388429
HALLMARK-DNA-REPAIR	-0.026978027992751	0.0654784906357424	-0.342887926450723	0.138936438660374	-0.0786095990234541	-0.098330279012365
HALLMARK-E2F-TARGETS	-0.768470070710803	0.118819543300627	-0.420868302534738	-0.175852937522381	-0.307451198568237	-0.476431867552383
HALLMARK-EPITHELIAL-MESENCHYMAL-TRANSITION	-0.843155192471283	-0.363440193626799	-0.24672437069189	-0.0277428811966978	-0.10226389878888	-0.43891221864659
HALLMARK-ESTROGEN-RESPONSE-EARLY	-0.0153035849335286	0.118241219922015	0.0324965481066792	-0.0088522356543197	0.0670794734230849	-0.0278976512842917
HALLMARK-ESTROGEN-RESPONSE-LATE	0.0409329829154967	0.141291848346125	-0.141229353819876	0.0122474132172257	0.149962848715364	-0.123337593857587
HALLMARK-FATTY-ACID-METABOLISM	-0.0321371920269744	-0.0530546832800831	-0.292089985940139	0.134932921729425	-0.0541018626688024	-0.241662664636932
HALLMARK-G2M-CHECKPOINT	-0.696913614012729	0.114413203471451	-0.171531093455706	-0.403487821641733	-0.324012220480827	-0.377107611386394
HALLMARK-GLYCOLYSIS	-0.371451548047475	-0.126497033856943	-0.611928275599168	-0.21332466933843	-0.0805530785091402	-0.497893024354087
HALLMARK-HEDGEHOG-SIGNALING	-0.673519141376159	-0.00966345142104874	-0.240411196773376	-0.949217726708232	-0.0476552865405271	-0.178651303074973
HALLMARK-HEME-METABOLISM	-0.00227986335594776	0.0529764226744502	0.0929063361890363	-0.258675663892187	0.230007487663301	-0.0272276721322222
HALLMARK-HYPOXIA	-0.588504553411699	-0.34718414525158	-0.273219002897867	-0.185039729386959	-0.0774032587913971	-0.489126980434395
HALLMARK-IL2-STAT5-SIGNALING	-0.162775355905187	-0.186877663288673	0.185521393464305	0.0429041433912909	0.0200099140373537	-0.157530229349034
HALLMARK-IL6-JAK-STAT3-SIGNALING	0.101942228783732	-0.0951023929470889	0.30561117298699	0.0482898474162297	0.211317113020185	-0.136851058363793
HALLMARK-INFLAMMATORY-RESPONSE	-0.23821656852342	-0.198797785327404	0.15136519229002	0.0275342730811601	0.0688594720345517	-0.083003278763699
HALLMARK-INTERFERON-ALPHA-RESPONSE	0.505537833370288	0.212199347938093	-0.275882355284757	-0.334966568884874	0.151170812949837	0.190882707784179
HALLMARK-INTERFERON-GAMMA-RESPONSE	0.295550054336737	0.140409687334574	-0.0223088602969601	-0.196245179341382	0.115964122575083	0.042079310738727
HALLMARK-KRAS-SIGNALING-DN	0.196653594816896	0.62006424135319	0.747683408965526	-0.0630014301264286	0.36444350504947	0.00547731728677636
HALLMARK-KRAS-SIGNALING-UP	-0.284552757997772	-0.0896383225322817	-0.180547313054686	-0.217119089604802	0.101581377054869	-0.234127839002368
HALLMARK-MITOTIC-SPINDLE	-0.411587623256187	0.0191823357925429	-0.248164068235327	-0.500044853460936	0.170662259570727	-0.0965766382097595
HALLMARK-MTORC1-SIGNALING	-0.359649387698744	-0.0756851924807758	-0.436453813621662	-0.441831608398623	-0.197813620777038	-0.511191944770007
HALLMARK-MYC-TARGETS-V1	-0.392302775640178	-0.0508724203993412	-0.291553157857669	-0.220721438076742	-0.341256987924647	-0.283099285965608
HALLMARK-MYC-TARGETS-V2	-0.448979066659128	0.163097379799581	0.0270778970219538	-0.377833140760901	-0.75183274696537	-0.201820173265909
HALLMARK-MYOGENESIS	-0.0176236838110326	-0.0641161620829975	0.0511959752535742	0.0302297162335696	0.182841631127385	-0.125500346729329
HALLMARK-NOTCH-SIGNALING	-0.36242328785111	0.178524768989035	0.129576246635625	0.20539018695071	-0.0502357045013961	-0.0936497733356121
HALLMARK-OXIDATIVE-PHOSPHORYLATION	-0.0470507238831859	-0.0733440910336038	-0.31254109797606	0.502455879830054	-0.198712244883365	-0.265124526326087
HALLMARK-P53-PATHWAY	-0.0459891729188393	0.00465216011815217	0.0773264948012122	0.149063726971121	0.139775758576911	-0.0935698721126084
HALLMARK-PANCREAS-BETA-CELLS	0.0148662133658428	0.24414983025898	0.182037343863666	-0.189641486422221	-0.023412394243552	-0.0793950060088422
HALLMARK-PEROXISOME	0.0361508523244796	0.12462559172766	-0.179754326774708	0.0246626351286312	0.0686732682259854	-0.17522346955157
HALLMARK-PI3K-AKT-MTOR-SIGNALING	-0.106031325391379	-0.0596896956466355	-0.55800965231816	-0.376939001271952	0.0379984092083134	-0.266881982537616
HALLMARK-PROTEIN-SECRETION	-0.0630438290027593	0.106427267599633	-0.213001598099814	-0.469788133403658	0.155174091704856	-0.0335525390168816
HALLMARK-REACTIVE-OXYGEN-SPECIES-PATHWAY	-0.152844648139748	0.117062254642548	0.00118815866230459	0.26263935882284	-0.0933745421774561	-0.311231542370793
HALLMARK-SPERMATOGENESIS	-0.0630886828197825	0.331393124027356	0.336512744136271	-0.376094591070173	-0.0315301033612849	-0.105526941717092
HALLMARK-TGF-BETA-SIGNALING	-0.668634395150634	-0.00654099191514002	0.638004899162413	-0.094048785012891	-0.0419375341559625	0.0174890646729851
HALLMARK-TNFA-SIGNALING-VIA-NFKB	-0.583403471354506	-0.170091736320807	0.756175243878182	0.52070449113728	-0.153275161950174	-0.062148832859386
HALLMARK-UNFOLDED-PROTEIN-RESPONSE	-0.36625516891535	-0.0271740101885718	0.0988957274054827	-0.257293327041086	-0.171323974876032	-0.275330282226855
HALLMARK-UV-RESPONSE-DN	-0.453267587893757	0.12373424942383	0.0806026931394479	-0.592499049731422	0.126492415611213	0.0675339384820544
HALLMARK-UV-RESPONSE-UP	-0.133125151580175	-0.028432152283751	0.37115402119198	0.409735187351613	-0.0273197565677878	-0.0795736812009276
HALLMARK-WNT-BETA-CATENIN-SIGNALING	-0.34276190278448	0.162712374918488	0.135692863958602	-0.0030027499123606	0.024638471226436	-0.0466924163418705
HALLMARK-XENOBIOTIC-METABOLISM	-0.0582282319093621	0.0569558127375314	-0.0296172804009816	0.226679244883196	0.0541768993309719	-0.357383503074869
hif-targets	-0.972740219551135	-0.603280733402214	-1.48113264852297	-1.5574351728641	-0.464694392348093	-1.14539496161118
